## 施法者 
Spellcaster
遵循魔法之道的协力者会成为施法者。协力者可能会成为一位不太专业的法师，一位祭司，一位算命者，或者以自己的方法驱使魔法的角色。 要获得施法者职业，一个生物的数据板中必须至少具有一门它能说的语言。 如施法者表格中所示，一位协力者会在提升等级时获得以下特性。

 | 级别
 | 熟练加值
 | 特性
 | 戏法
 | 已知法术
 | 一环
 | 二环
 | 三环
 | 四环
 | 五环
 | 1st
 | +2
 | 额外熟练，施法
 | 2
 | 1
 | 2
 | -
 | -
 | -
 | -
 | 2nd
 | +2
 | -
 | 2
 | 2
 | 2
 | -
 | -
 | -
 | -
 | 3rd
 | +2
 | -
 | 2
 | 3
 | 3
 | -
 | -
 | -
 | -
 | 4th
 | +2
 | 属性值提升
 | 3
 | 3
 | 3
 | -
 | -
 | -
 | -
 | 5th
 | +3
 | -
 | 3
 | 4
 | 4
 | 2
 | -
 | -
 | -
 | 6th
 | +3
 | 强力戏法
 | 3
 | 4
 | 4
 | 2
 | -
 | -
 | -
 | 7th
 | +3
 | -
 | 3
 | 5
 | 4
 | 3
 | -
 | -
 | -
 | 8th
 | +3
 | 属性值提升
 | 3
 | 5
 | 4
 | 3
 | -
 | -
 | -
 | 9th
 | +4
 | -
 | 3
 | 6
 | 4
 | 3
 | 2
 | -
 | -
 | 10th
 | +4
 | -
 | 4
 | 6
 | 4
 | 3
 | 2
 | -
 | -
 | 11th
 | +4
 | -
 | 4
 | 7
 | 4
 | 3
 | 3
 | -
 | -
 | 12th
 | +4
 | 属性值提升
 | 4
 | 7
 | 4
 | 3
 | 3
 | -
 | -
 | 13th
 | +5
 | -
 | 4
 | 8
 | 4
 | 3
 | 3
 | 1
 | -
 | 14th
 | +5
 | 增强法术
 | 4
 | 8
 | 4
 | 3
 | 3
 | 1
 | -
 | 15th
 | +5
 | -
 | 4
 | 9
 | 4
 | 3
 | 3
 | 2
 | -
 | 16th
 | +5
 | 属性值提升
 | 4
 | 9
 | 4
 | 3
 | 3
 | 2
 | -
 | 17th
 | +6
 | -
 | 4
 | 10
 | 4
 | 3
 | 3
 | 3
 | 1
 | 18th
 | +6
 | 属性值提升
 | 4
 | 10
 | 4
 | 3
 | 3
 | 3
 | 1
 | 19th
 | +6
 | -
 | 4
 | 11
 | 4
 | 3
 | 3
 | 3
 | 2
 | 20th
 | +6
 | 专注施法
 | 4
 | 11
 | 4
 | 3
 | 3
 | 3
 | 2
额外熟练 Bonus Proficiencies 1级施法者特性 协力者获得以下一项你所选豁免检定的熟练：智力，感知，或魅力。 此外，协力者获得以下中2项你选技能的熟练：奥秘，历史，洞悉，调查，医药，表演，游说和宗教。 协力者获得轻甲熟练。如果它是一个类人生物或在其资料版中具有一项简易或军用武器，它也会获得所有简易武器的熟练。
施法 Spellcasting 1级施法者特性 协力者获得施展法术的能力（如果该生物已具有施法特质，该特性替换原本特质）。选择一项施法者职能：魔术师（mage），治疗者（healer）或奇才（prodigy）。这选择将决定协力者的法术列表和使 用的施法属性，见施法表格。 施法spellcasting

 | 职能
 | 法术列表
 | 属性
 | 魔术师
 | 法师
 | 智力
 | 治疗者
 | 牧师或德鲁伊
 | 感知
 | 奇才
 | 诗人或魔契师
 | 魅力
  - 魔术师：法师之手，冷冻射线，雷鸣波
  - 治疗者：疗伤术，神导术，圣火术
  - 奇才：魔能爆，治愈真言，光亮术
施法者表格的已知戏法和已知法术栏显示了协力者何时能习得由你选择的新法术。已知法术栏中的每个法术必须是协力者具有表中所示相应环阶的法术。例如，当协力者达到5级时，它能学习1个新的1环或2环法术。 此外，当协力者获得新的该职业等级时，你能选择一个它已知的法术并以一个新的法术替换它。新的法术可以是戏法，也可以一个是协力者具有对应法术位的法术。 施法属性 Spellcasting Ability 协力者法术的施法属性取决于你在协力者表格中的选择。 当法术提到其属性时，协力者使用其施法属性。此外，在确定法术豁免DC和以法术进行攻击时它会使用施法属性调整值。 法术豁免DC＝8＋协力者的熟练加值＋你的施法属性调整值 法术攻击调整值＝协力者的熟练加值＋你的施法属性调整值 法器 Spellcasting 
Focus 协力者使用的法器取决于你在施法表格中为他选择的职能。魔术师使用奥术法器；治疗者使用圣徽；奇才使用奥术法器或乐器都可以。
属性值提升 Ability Score Improvement 4级施法者特性 达到第4、第8、第12、第16、第18级时，协力者由你选择的一项属性值提升2点，或是选择两项属性各提升1点。协力者不能通过该特性让属性值超过20。
强力戏法 Potent Cantrips 6级施法者特性 施法者施展戏法造成伤害时，可以再加上施法调整值。
增强法术 Empowered Spells 14级施法者特性 选择一个魔法学派。当协力者消耗法术位施展该学派的法术时，如果法术能造成伤害或治疗生命值，它能将自己的施法属性调整值加到法术的伤害或者治疗骰值中。
专注施法 Focus Casting 20级施法者特性 受到伤害不会打断协力者对法术的专注。
