| d6
 | 军事组织类型
 | 1
 | 常备军Standing Army。一支纪律严明且结构严谨的常备军作为一支卫队隶属于一个省份或一整个国家。严格的指挥层确保着部队各部门之间的协调。
 | 2
 | 雇佣兵团Mercenary Company。一群饱受无数激战折磨的顽强老兵，他们为雇主服务是为了金钱而不是出于忠诚
 | 3
 | 远征军Expeditionary Force。这支军队远离家乡，在敌后作战或步入荒野。这只部队必须行动迅速，自给自足，无论是使用外交手腕还是先下手为强他们都以确保部队续存为己任。
 | 4
 | 部落Horde。这个部落如同一股自然之力，它缺乏纪律而由凶猛来弥补。它没有严格的指挥阶层，而是像小股部队组成的金字塔一样运作。部落指挥官忠于他们之上的更强者，最高级指挥官则是军阀。
 | 5
 | 位面征召兵Planar Conscripts。这支部队在多元宇宙的遥远位面上争夺宇宙利益，或与物质位面上的与外来入侵者作斗争。其中的战士包括在血战中被强征的士兵，残酷的尤格罗斯魔雇佣兵阵营中的炮灰，或抵御邪魔入侵的荣耀天族。
 | 6
 | 天空战士Sky Warriors。这支军事部队由有翼生物，魔法飞行者，以及飞艇构成的空中舰队。传统的防御措施无法有效抵抗空中攻击，因此天空战士往往都是令人恐惧的国度或者昂贵而令人垂涎的雇佣军。
 | d6
 | 联络人
 | 1
 | 久经考验的老兵Tested Veteran。你的指挥官是一个饱经战场的军官，他曾在战斗中直面恐惧。他依靠某种东西来减轻记忆或伤口造成的痛苦，从他喜欢作家的散文到用来分散注意力的恶习。
 | 2
 | 任务主管Taskmaster。这位愤怒的军官会对你们大喊大叫，即使你们仅仅犯了小错也是如此。而且，他认为你们会在所有任务上失败。这可能是一种严厉的爱，也可能仅仅是混蛋罢了。
 | 3
 | 宠溺的军官Protective Officer。这位友善的军官不愿将你们带入危险之中，并不断提醒你们要小心。
 | 4
 | 心怀仇恨的士兵Bitter Soldier。你的指挥官对你们的敌人有深仇大恨。即使你的团队可能面临巨大风险，他也会抓住任何机会来击败敌人。
 | 5
 | 满怀希望的指挥官Hopeful Commander。这位乐观的军官认为新的和平时代即将来临。你只需要完成最后的几个任务，然后一切都应该结束了。
 | 6
 | 虔诚领袖Devout Leader。你的指挥官是一个虔诚的信徒。他相信你们的成功或失败完全取决于神的意图，而你们则是贯彻神之旨意的工具。
 | 身份
 | 背景
 | 战斗员Combatant
 | 罪犯、平民英雄、化外之民、水手、士兵
 | 战术家Tactician
 | 侍僧、平民英雄、贵族、智者、士兵
 | 军医Medic
 | 侍僧、平民英雄、隐士、智者、士兵
 | 侦察兵Scout
 | 隐士、化外之民、水手、士兵、流浪儿
 | 煽动者Provocateur
 | 侍僧、骗子、罪犯、艺人、贵族
 | 间谍Spy
 | 任意
 | d6
 | 任务
 | 1
 | 突击部队Strike Force。你们对敌人的部队进行快速的、战略性的、毁灭性的打击。
 | 2
 | 防御行动Defensive Operations。你们必须保护重要地点的安全，例如平民人口聚集处，补给站或具有战略意义的桥梁或海港。
 | 3
 | 特种部队Special Forces。你们被分配到敌后进行秘密行动。 
      这与间谍或刺客的工作类似，但范围更广。你们从事设备破坏活动或对高价值目标执行针对性打击。
 | 4
 | 侦察Reconnaissance。你们收集有关敌军人数，位置，动向或隐藏补给处和补给路线的信息。
 | 5
 | 猎杀并歼灭Seek and Destroy。你们的责任是追捕特定的高价值危险目标，其中包括逃兵，可疑的敌方特种部队或横行的魔法战争机器。
 | 6
 | 围攻Siege。你们被指派对敌人的据点发起围攻，或破坏一个正在对友军要塞进行的围攻。
