神与冒险Gods and Adventures
本部分提供了两张表格安南子嗣冒险表和外神冒险表提供了与巨人崇拜有关的冒险。
安南子嗣冒险Annam's Children Adventures

 | d12
 | 冒险引子
 | 1
 | 风暴巨人先知宣称自己从安南处得到了启示，并开始了一场征服和统一的战役，为全父的回归做准备。他的对手要求冒险者去阻止这位先知。
 | 2
 | 神秘女人带领冒险者们穿过危险的地牢，找到了一个古老的巨人女王王冠。在最后宣告自己是迪安卡斯特拉，然后根据冒险者们的行为给予祝福或诅咒。
 | 3
 | 石巨人隐士要求冒险者们帮助阻止一位山丘巨人，那个山丘巨人聚集了一帮其他的巨人，以格洛兰托的名义掠夺临近的巨人聚集地。
 | 4
 | 西亚缇的一位火巨人祭司对城市发出了警告，有个庞然巨怪正在附近游荡。于是城市在祭司的援手下，向冒险者们发出了求助。
 | 5
 | 伊兰尼丝的一位云巨人祭司寻求一个中立的第三方来给两个交战巨人家族进行休战谈判，他们之间的冲突已经波及到一座城镇了。
 | 6
 | 冒险者们在调查一个系列绑架案的时候发现了一位石巨人，效忠于卡罗托，将人带进幽暗地域。
 | 7
 | 冒险者们被作为使者派往一处云巨人飞地，发现那里因为一个曼诺信徒为了夺权而散播了一片混乱。
 | 8
 | 冒险者们发现了一处石巨人社区，他们的司寇雷乌斯祭司还没有在前往幽暗地域的朝圣中回归。巨人们怀疑祭司是遭夺心魔绑走了。
 | 9
 | 冒险者们的船只在一场大风暴中失事，风暴巨人救出了冒险者，他们认为这场风暴是来自斯绰茂兹的神启，并尝试辨明其中的含义。
 | 10
 | 一条金属龙雏龙请求冒险者们帮助阻止一个来屠龙的火巨人。火巨人希望挑起巨人和龙的冲突，最终让苏尔特的天火净化世界。
 | 11
 | 持续了太长时间的冬天令食物紧缺，索列姆的祭司于是带领了一支狩猎队伍去猎捕因灾受困的人们，而他们也寻求冒险者的保护。
 | 12
 | 霜巨人寻求各种帮助去保护一个奇怪的巨人婴儿，她觉得这是安南之子，他将引领整个巨人族群迈向新时代。
外神冒险Interloper Gods Adventures

 | d10
 | 冒险引子
 | 1
 | 崇拜瓦普拉克的巨人带领着食人魔和双头巨人开始在当地造反。领导人们向冒险者寻求帮助。
 | 2
 | 在地下旅行的冒险者们迷失在迷宫般的通道网络中，被崇拜巴弗灭的石巨人邪教徒们追捕。
 | 3
 | 狄魔高根的风暴巨人崇拜者开始在某处海洋洞穴内召唤恶魔王子，但在仪式完成之前，有大量水生怪物涌向了该地区。当地的渔民在寻求庇护。
 | 4
 | 在被赶出聚集地后，科斯彻奇的霜巨人邪教徒开始袭击商队。因此冒险者被雇佣来作护卫。
 | 5
 | 角色们发现一群豺狼人在围攻一个山丘巨人，但随着山丘巨人杀掉（和吃掉）的豺狼人越多，这个巨人就开始变得越来越像恶魔。
 | 6
 | 角色们在游览一座山城时感受到了一系列小地震。他们的调查表明，附近可能有土元素邪恶的信徒活动，石巨人领导着这个邪教，并在为更大的灾难做准备。
 | 7
 | 冒险者们遇到了一艘由水元素邪恶的霜巨人信徒驾驶的长船，这艘长船正在掠夺一条繁忙的贸易路线。
 | 8
 | 森林侏儒们寻求能够阻止火元素邪恶教派的邪教徒们焚烧森林的助力，邪教徒们期望着苏尔特用火焰净化世界。
 | 9
 | 气元素邪恶邪教的风暴巨人邪教徒在一处繁荣的海港掷下了无尽的风暴。当地人被迫寻求帮助。
 | 10
 | 火巨人在火山的中心打开了通往九狱的传送门，当地人寻求保护以免遭熔岩与魔鬼的侵害。
