| 物品
 | 类型
 | 同调？
 | 精金护甲 Adamantine armor
 | 护甲
 | 否
 | 反侦护符 Amulet of proof against detection and location
 | 奇物
 | 是
 | 魔术袋 Bag of tricks
 | 奇物
 | 否
 | 精灵之靴 Boots of elvenkind
 | 奇物
 | 否
 | 跳跑之靴 Boots of striding and springing
 | 奇物
 | 是
 | 雪地之靴 Boots of the winterlands
 | 奇物
 | 是
 | 射手护腕 Bracers of archery
 | 奇物
 | 是
 | 护盾胸针 Brooch of shielding
 | 奇物
 | 是
 | 飞天扫帚 Broom of flying
 | 奇物
 | 否
 | 爆裂头饰 Circlet of blasting
 | 奇物
 | 否
 | 精灵斗篷 Cloak of elvenkind
 | 奇物
 | 是
 | 防护斗篷 Cloak of protection
 | 奇物
 | 是
 | 幻象牌组 Deck of illusions
 | 奇物
 | 否
 | 无尽烟壶 Eversmoking bottle
 | 奇物
 | 否
 | 魅惑镜片 Eyes of charming
 | 奇物
 | 是
 | 鹰眼镜片 Eyes of the eagle
 | 奇物
 | 是
 | 异能塑像（白银渡鸦） Figurine of wondrous power(silver raven)
 | 奇物
 | 否
 | 食人魔力量护手 Gauntlets of ogre power
 | 奇物
 | 是
 | 光彩夺目宝石 Gem of brightness
 | 奇物
 | 否
 | 辟矢夺箭手套 Gloves of missile snaring
 | 奇物
 | 是
 | 运动健将手套 Gloves of swimming and climbing
 | 奇物
 | 是
 | 窃贼手套 Gloves of thievery
 | 奇物
 | 否
 | 易容帽 Hat of disguise
 | 奇物
 | 是
 | 智力头带 Headband of intellect
 | 奇物
 | 是
 | 心灵感应头盔 Helm of telepathy
 | 奇物
 | 是
 | 吟游诗人乐器（道丝鲁特琴） Instrument of the bards(doss lute)
 | 奇物
 | 是（吟游诗人）
 | 吟游诗人乐器（佛克路坎班多里琴） Instrument of the bards(fochlucan 
      bandore)
 | 奇物
 | 是（吟游诗人）
 | 吟游诗人乐器（麦克-弗瑞米西特琴 ） instrument of the bards(mac-fuimidh cittern)
 | 奇物
 | 是（吟游诗人）
 | 闪电标枪 Javelin of lightning
 | 武器
 | 否
 | 读心勋章 Medallion of thoughts
 | 奇物
 | 是
 | 适应项链 Necklace of adaptation
 | 奇物
 | 是
 | 法力再生珍珠 Pearl of power
 | 奇物
 | 是（施法者）
 | 愈合护符 Periapt of wound closure
 | 奇物
 | 是
 | 颤栗乐笙 Pipes of haunting
 | 奇物
 | 否
 | 唤鼠乐笙 Pipes of the sewers
 | 奇物
 | 是
 | 艾罗娜的箭袋 Quiver of ehlonna
 | 奇物
 | 否
 | 跳跃戒指 Ring of jumping
 | 戒指
 | 是
 | 心灵护盾戒指 Ring of mind shielding
 | 戒指
 | 是
 | 温暖戒指 Ring of warmth
 | 戒指
 | 是
 | 水行戒指 Ring of water walking
 | 戒指
 | 否
 | +1契约掌控者权杖 Rod of the pact keeper,+1
 | 权杖
 | 是（魔契师）
 | 警戒之盾 Sentinel shield
 | 护甲
 | 否
 | +1盾牌 Shield,+1
 | 护甲
 | 否
 | 蛛行便鞋 Slippers of spider climbing
 | 奇物
 | 是
 | 蝰蛇法杖 Staff of the adder
 | 法杖
 | 是（牧师、德鲁伊或魔契师）
 | 巨蟒法杖 Staff of the python
 | 法杖
 | 是（牧师、德鲁伊或魔契师）
 | 吉运之石（幸运石） Stone of good luck (luckstone)
 | 奇物
 | 是
 | 复仇之剑 Sword of vengeance
 | 武器
 | 是
 | 唤鱼三叉戟 Trident of fish command
 | 武器
 | 是
 | 魔法飞弹魔杖 Wand of magic missiles
 | 魔杖
 | 否
 | +1战法师魔杖 Wand of the war mage,+1
 | 魔杖
 | 是（施法者）
 | 蛛网魔杖 Wand of web
 | 魔杖
 | 是（施法者）
 | 警戒武器 Weapon of warning
 | 武器
 | 是
 | +1武器 Weapon,+1
 | 武器
 | 否
 | 造风之扇 Wind fan
 | 奇物
 | 否
 | 飞翼之靴 Winged boots
 | 奇物
 | 是
