| 法术名
 | 环阶
 | 学派
 | 职业
 | 言语
 | 姿势
 | 材料
 | 仪式
 | 专注
 | 来源
 | 亚比达奇凋死术Abi-Dalzim's Horrid
					Wilting
 | 八环
 | 死灵
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | XGE
 | 吸收元素Absorb Elements
 | 一环
 | 防护
 | 德 软 术 法 械
 | ×
 | S
 | ×
 | ×
 | ×
 | XGE
 | 酸液飞溅Acid Splash
 | 戏法(零环)
 | 塑能
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 阿迦纳萨喷火术Aganazzar's Scorcher
 | 二环
 | 塑能
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | XGE
 | 援助术Aid
 | 二环
 | 防护
 | 诗 牧 德 帕 软
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 空气泡泡Air Bubble
 | 二环
 | 咒法
 | 德 软 术 法 械
 | ×
 | S
 | ×
 | ×
 | ×
 | AAG
 | 警报术Alarm
 | 一环
 | 防护
 | 软 法
 | V
 | S
 | M
 | √
 | ×
 | PHB24
 | 变身术Alter Self
 | 二环
 | 变化
 | 术 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 化兽为友Animal Friendship
 | 一环
 | 惑控
 | 诗 德 软
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 动物信使Animal Messenger
 | 二环
 | 惑控
 | 诗 德 软
 | V
 | S
 | M
 | √
 | ×
 | PHB24
 | 动物形态Animal Shapes
 | 八环
 | 变化
 | 德
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 活化死尸Animate Dead
 | 三环
 | 死灵
 | 牧 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 活化物件Animate Objects
 | 五环
 | 变化
 | 诗 术 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 敌意术Antagonize
 | 三环
 | 惑控
 | 诗 术 法 锁
 | V
 | S
 | M
 | ×
 | ×
 | BMT
 | 防活物护罩Antilife Shell
 | 五环
 | 防护
 | 德
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 反魔法场Antimagic Field
 | 八环
 | 防护
 | 牧 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 嫌恶术/关怀术AntipathySympathy
 | 八环
 | 惑控
 | 诗 德 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 秘法眼Arcane Eye
 | 四环
 | 预言
 | 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 秘法门Arcane Gate
 | 六环
 | 咒法
 | 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 秘法锁Arcane Lock
 | 二环
 | 防护
 | 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 复苏秘法Arcane Vigor
 | 二环
 | 防护
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 黯冰狱铠Armor of Agathys
 | 一环
 | 防护
 | 锁
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 哈达之臂Arms of Hadar
 | 一环
 | 咒法
 | 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 阿莎德隆奔行Ashardalon's Stride
 | 三环
 | 变化
 | 软 术 法 械
 | V
 | S
 | ×
 | ×
 | √
 | FTD
 | 星界投影Astral Projection
 | 九环
 | 死灵
 | 牧 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 卜筮术Augury
 | 二环
 | 预言
 | 牧 德 法
 | V
 | S
 | M*
 | √
 | ×
 | PHB24
 | 生命灵光Aura of Life
 | 四环
 | 防护
 | 牧 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB24
 | 净化灵光Aura of Purity
 | 四环
 | 防护
 | 牧 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB24
 | 活力灵光Aura of Vitality
 | 三环
 | 塑能
 | 牧 德 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB24
 | 启蒙术Awaken
 | 五环
 | 变化
 | 诗 德
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 灾祸术Bane
 | 一环
 | 惑控
 | 诗 牧 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 放逐斩Banishing Smite
 | 五环
 | 咒法
 | 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB24
 | 放逐术Banishment
 | 四环
 | 防护
 | 牧 帕 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 树肤术Barkskin
 | 二环
 | 变化
 | 德 软
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 希望信标Beacon of Hope
 | 三环
 | 防护
 | 牧
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 兽之联结Beast Bond
 | 一环
 | 预言
 | 德 软
 | V
 | S
 | M
 | ×
 | √
 | XGE
 | 野兽感官Beast Sense
 | 二环
 | 预言
 | 德 软
 | ×
 | S
 | ×
 | √
 | √
 | PHB24
 | 摧心术Befuddlement
 | 八环
 | 惑控
 | 诗 德 法 锁
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 降咒Bestow Curse
 | 三环
 | 死灵
 | 诗 牧 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 毕格比之手Bigby's Hand
 | 五环
 | 塑能
 | 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 剑刃护壁Blade Barrier
 | 六环
 | 塑能
 | 牧
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 剑刃防护Blade Ward
 | 戏法(零环)
 | 防护
 | 诗 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 灾厄之刃Blade of Disaster
 | 九环
 | 咒法
 | 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | TCE
 | 祝福术Bless
 | 一环
 | 惑控
 | 牧 帕
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 枯萎术Blight
 | 四环
 | 死灵
 | 德 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 致盲斩Blinding Smite
 | 三环
 | 塑能
 | 帕
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 目盲术/耳聋术Blindness/Deafness
 | 二环
 | 变化
 | 诗 牧 术 法
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 闪现术Blink
 | 三环
 | 变化
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 朦胧术Blur
 | 二环
 | 幻术
 | 术 法
 | V
 | ×
 | ×
 | ×
 | √
 | PHB24
 | 地之骨Bones of the Earth
 | 六环
 | 变化
 | 德
 | V
 | S
 | ×
 | ×
 | ×
 | XGE
 | 轰雷剑Booming Blade
 | 戏法(零环)
 | 塑能
 | 术 法 械 锁
 | ×
 | S
 | M*
 | ×
 | ×
 | TCE
 | 借鉴才学Borrowed Knowledge
 | 二环
 | 预言
 | 诗 牧 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | SCC
 | 燃烧之手Burning Hands
 | 一环
 | 塑能
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 召雷术Call Lightning
 | 三环
 | 咒法
 | 德
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 安定心神Calm Emotions
 | 二环
 | 惑控
 | 诗 牧
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 弹射术Catapult
 | 一环
 | 变化
 | 术 法 械
 | ×
 | S
 | ×
 | ×
 | ×
 | XGE
 | 假寐术Catnap
 | 三环
 | 惑控
 | 诗 术 法 械
 | ×
 | S
 | M
 | ×
 | ×
 | XGE
 | 造成恐惧Cause Fear
 | 一环
 | 死灵
 | 法 锁
 | V
 | ×
 | ×
 | ×
 | √
 | XGE
 | 典礼术Ceremony
 | 一环
 | 防护
 | 牧 帕
 | V
 | S
 | M*
 | √
 | ×
 | XGE
 | 连锁闪电Chain Lightning
 | 六环
 | 塑能
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 混乱箭Chaos Bolt
 | 一环
 | 塑能
 | 术
 | V
 | S
 | ×
 | ×
 | ×
 | XGE
 | 魅惑怪物Charm Monster
 | 四环
 | 惑控
 | 诗 德 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 魅惑类人Charm Person
 | 一环
 | 惑控
 | 诗 德 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 颤栗之触Chill Touch
 | 戏法(零环)
 | 死灵
 | 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 繁彩球Chromatic Orb
 | 一环
 | 塑能
 | 术 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 死亡法阵Circle of Death
 | 六环
 | 死灵
 | 术 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 原力法阵Circle of Power
 | 五环
 | 防护
 | 牧 帕 法
 | V
 | ×
 | ×
 | ×
 | √
 | PHB24
 | 鹰眼术Clairvoyance
 | 三环
 | 预言
 | 诗 牧 术 法
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 克隆术Clone
 | 八环
 | 死灵
 | 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 匕首之云Cloud of Daggers
 | 二环
 | 咒法
 | 诗 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 死云术Cloudkill
 | 五环
 | 咒法
 | 术 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 七彩喷射Color Spray
 | 一环
 | 幻术
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 命令术Command
 | 一环
 | 惑控
 | 诗 牧 帕
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 通神术Commune
 | 五环
 | 预言
 | 牧
 | V
 | S
 | M
 | √
 | ×
 | PHB24
 | 问道自然Commune with Nature
 | 五环
 | 预言
 | 德 软
 | V
 | S
 | ×
 | √
 | ×
 | PHB24
 | 强令对决Compelled Duel
 | 一环
 | 惑控
 | 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB24
 | 通晓语言Comprehend Languages
 | 一环
 | 预言
 | 诗 术 法 锁
 | V
 | S
 | M
 | √
 | ×
 | PHB24
 | 强迫术Compulsion
 | 四环
 | 惑控
 | 诗
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 寒冰锥Cone of Cold
 | 五环
 | 塑能
 | 德 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 困惑术Confusion
 | 四环
 | 惑控
 | 诗 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 咒唤兽群Conjure Animals
 | 三环
 | 咒法
 | 德 软
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 箭如雨下Conjure Barrage
 | 三环
 | 咒法
 | 软
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 咒唤圣光Conjure Celestial
 | 七环
 | 咒法
 | 牧
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 咒唤元素Conjure Elemental
 | 五环
 | 咒法
 | 德 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 咒唤妖精Conjure Fey
 | 六环
 | 咒法
 | 德
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 咒唤微元素群Conjure Minor Elementals
 | 四环
 | 咒法
 | 德 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 万箭齐发Conjure Volley
 | 五环
 | 咒法
 | 软
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 咒唤林地卫士Conjure Woodland Beings
 | 四环
 | 咒法
 | 德 软
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 异界探知Contact Other Plane
 | 五环
 | 预言
 | 法 锁
 | V
 | ×
 | ×
 | √
 | ×
 | PHB24
 | 疫病术Contagion
 | 五环
 | 死灵
 | 牧 德
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 触发术Contingency
 | 六环
 | 防护
 | 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 不灭明焰Continual Flame
 | 二环
 | 塑能
 | 牧 德 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 控火术Control Flames
 | 戏法(零环)
 | 变化
 | 德 术 法
 | ×
 | S
 | ×
 | ×
 | ×
 | XGE
 | 操控水体Control Water
 | 四环
 | 变化
 | 牧 德 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 操控天气Control Weather
 | 八环
 | 变化
 | 牧 德 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 操控风力Control Winds
 | 五环
 | 变化
 | 德 术 法
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 警戒箭阵Cordon of Arrows
 | 二环
 | 变化
 | 软
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 法术反制Counterspell
 | 三环
 | 防护
 | 术 法 锁
 | ×
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 创造篝火Create Bonfire
 | 戏法(零环)
 | 咒法
 | 德 术 法 械 锁
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 造粮术Create Food and Water
 | 三环
 | 咒法
 | 牧 帕
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 创造人工生命体Create Homunculus
 | 六环
 | 变化
 | 法
 | V
 | S
 | M*
 | ×
 | ×
 | XGE
 | 创造法驱魔舵Create Spelljamming Helm
 | 五环
 | 变化
 | 法 械
 | V
 | S
 | M*
 | ×
 | ×
 | AAG
 | 唤起亡灵Create Undead
 | 六环
 | 死灵
 | 牧 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 造水术/枯水术Create or Destroy Water
 | 一环
 | 变化
 | 牧 德
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 造物术Creation
 | 五环
 | 幻术
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 疯狂冠冕Crown of Madness
 | 二环
 | 惑控
 | 诗 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 众星冠冕Crown of Stars
 | 七环
 | 塑能
 | 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | XGE
 | 十字军披风Crusader's Mantle
 | 三环
 | 塑能
 | 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB24
 | 疗伤术Cure Wounds
 | 一环
 | 防护
 | 诗 牧 德 帕 软
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 舞光术Dancing Lights
 | 戏法(零环)
 | 幻术
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 骷髅之舞Danse Macabre
 | 五环
 | 死灵
 | 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 黑暗术Darkness
 | 二环
 | 塑能
 | 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 黑暗视觉Darkvision
 | 二环
 | 变化
 | 德 软 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 拂晓Dawn
 | 五环
 | 塑能
 | 牧 法
 | V
 | S
 | M*
 | ×
 | √
 | XGE
 | 昼明术Daylight
 | 三环
 | 塑能
 | 牧 德 帕 软 术
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 防死结界Death Ward
 | 四环
 | 防护
 | 牧 帕
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 延迟爆裂火球Delayed Blast Fireball
 | 七环
 | 塑能
 | 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 半位面Demiplane
 | 八环
 | 咒法
 | 术 法 锁
 | ×
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 湮灭波Destructive Wave
 | 五环
 | 塑能
 | 帕
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 侦测善恶Detect Evil and Good
 | 一环
 | 预言
 | 牧 帕
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 侦测魔法Detect Magic
 | 一环
 | 预言
 | 诗 牧 德 帕 软 术 法 锁
 | V
 | S
 | ×
 | √
 | √
 | PHB24
 | 侦测毒性和疾病Detect Poison and Disease
 | 一环
 | 预言
 | 牧 德 帕 软
 | V
 | S
 | M
 | √
 | √
 | PHB24
 | 侦测思想Detect Thoughts
 | 二环
 | 预言
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 任意门Dimension Door
 | 四环
 | 咒法
 | 诗 术 法 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 易容术Disguise Self
 | 一环
 | 幻术
 | 诗 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 解离术Disintegrate
 | 六环
 | 变化
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 驱逐善恶Dispel Evil and Good
 | 五环
 | 防护
 | 牧 帕
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 解除魔法Dispel Magic
 | 三环
 | 防护
 | 诗 牧 德 帕 软 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 不谐低语Dissonant Whispers
 | 一环
 | 惑控
 | 诗
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 扭曲价值Distort Value
 | 一环
 | 幻术
 | 术 法 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | AI
 | 预言术Divination
 | 四环
 | 预言
 | 牧 德 法
 | V
 | S
 | M*
 | √
 | ×
 | PHB24
 | 神恩Divine Favor
 | 一环
 | 变化
 | 帕
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 至圣斩Divine Smite
 | 一环
 | 塑能
 | 帕
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 圣言术Divine Word
 | 七环
 | 塑能
 | 牧
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 支配野兽Dominate Beast
 | 四环
 | 惑控
 | 德 软 术
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 支配怪物Dominate Monster
 | 八环
 | 惑控
 | 诗 术 法 锁
